code,section,title,description,jurisdiction_code,procedure_types,evaluation_criteria,legal_regime,mandatory,evidence_types,artifact_code,legal_ref,sort_order,condition_json,notes,active
LEG-VISITA-SITIO,LEGAL,Manifestación de conocer el sitio,"Manifestación de conocer el sitio de los trabajos y condiciones ambientales, cuando la convocatoria lo requiera.",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|PDF,LEG-VISITA-SITIO,RLOPSRM,110,,,true
LEG-PROPOSICION-CONJUNTA,LEGAL,Convenio de proposición conjunta,Solo si participan en conjunto: convenio con porcentajes y responsable común.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|PDF,LEG-PROPOSICION-CONJUNTA,LOPSRM,120,,,true
TEC-EXPERIENCIA,TECNICA,Experiencia y especialidad,"Acreditar trabajos similares: contratos, actas de entrega-recepción o finiquitos con objeto, monto y periodo.",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,TEC-EXPERIENCIA,RLOPSRM Art. 44,10,,,true
TEC-PERSONAL-CLAVE,TECNICA,Personal clave / residente de obra,"Currículum y documentación del personal profesional que dirigirá los trabajos (cédula, experiencia).",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,TEC-PERSONAL-CLAVE,RLOPSRM / convocatoria,20,,,true
TEC-MAQUINARIA,TECNICA,Maquinaria y equipo,"Relación de maquinaria y equipo disponible o comprometido para la ejecución, con identificación.",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,TEC-MAQUINARIA,convocatoria,30,,,true
TEC-ORGANIGRAMA,TECNICA,Organigrama de ejecución,Organigrama del equipo técnico y de supervisión en sitio.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,TEC-ORGANIGRAMA,convocatoria,40,,,true
TEC-CAPACIDAD-FINANCIERA,TECNICA,Capacidad financiera,Estados financieros y/o declaraciones fiscales de los ejercicios que indique la convocatoria; razones financieras si se piden.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,TEC-CAPACIDAD-FINANCIERA,RLOPSRM Art. 44,50,,,true
TEC-METODOLOGIA,TECNICA,Metodología de ejecución,Descripción del método constructivo y secuencia de trabajos acorde al proyecto.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,TEC-METODOLOGIA,convocatoria,60,,,true
TEC-PROGRAMA-OBRA,TECNICA,Programa de ejecución de los trabajos,Programa calendario de obra alineado al plazo de la convocatoria.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,TEC-PROGRAMA-OBRA,RLOPSRM,70,,,true
TEC-SUBCONTRATOS,TECNICA,Subcontratación (si aplica),Relación de trabajos a subcontratar y datos del subcontratista cuando las bases lo permitan/exijan.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|PDF,TEC-SUBCONTRATOS,LOPSRM,80,,,true
TEC-NORMAS-CALIDAD,TECNICA,Normas de calidad y especificaciones,Manifestación de adherirse a normas de calidad y especificaciones particulares del proyecto.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|PDF,TEC-NORMAS-CALIDAD,convocatoria / proyecto,90,,,true
TEC-SEGURIDAD,TECNICA,Seguridad e higiene (si aplica),Programa o compromisos de seguridad industrial cuando la convocatoria lo solicite.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|PDF,TEC-SEGURIDAD,convocatoria,100,,,true
ECO-CARTA-PROPUESTA,ECONOMICA,Carta compromiso / carta de propuesta económica,"Carta firmada con el monto total ofertado, sin IVA salvo indicación en bases.",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-CARTA-PROPUESTA,RLOPSRM,10,,,true
ECO-CATALOGO-CONCEPTOS,ECONOMICA,Catálogo de conceptos con precios unitarios,"Catálogo de la convocante con precios unitarios propuestos; sin alterar claves, descripciones, unidades ni cantidades.",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-CATALOGO-CONCEPTOS,RLOPSRM,20,,,true
ECO-APU,ECONOMICA,Análisis de precios unitarios (APU),"Desglose CD (materiales, mano de obra, equipo) de los conceptos requeridos. Motor APU se activa cuando se carguen catálogos de precios unitarios.",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-APU,RLOPSRM Art. 45,30,,APU_DEFERRED_UNTIL_CATALOG_LOAD,true
ECO-INDIRECTOS,ECONOMICA,Análisis de costos indirectos,Indirectos de campo y de oficina expresados conforme a las bases.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-INDIRECTOS,RLOPSRM,40,,,true
ECO-FINANCIAMIENTO,ECONOMICA,Análisis de financiamiento,Costo financiero del plazo de ejecución según bases.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-FINANCIAMIENTO,RLOPSRM,50,,,true
ECO-UTILIDAD,ECONOMICA,Análisis de utilidad,Cargo por utilidad declarado conforme a bases.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-UTILIDAD,RLOPSRM,60,,,true
ECO-EXPLOSION-INSUMOS,ECONOMICA,Explosión de insumos,"Consolidado de materiales, MO y equipo del presupuesto.",,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-EXPLOSION-INSUMOS,RLOPSRM,70,,,true
ECO-PROGRAMA-MONTOS,ECONOMICA,Programa de ejecución con montos,Calendario de obra con erogaciones mensuales (curva financiera).,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-PROGRAMA-MONTOS,RLOPSRM,80,,,true
ECO-PROGRAMA-MATERIALES,ECONOMICA,Programa de suministro de materiales,Distribución mensual de materiales principales.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|XLSX|PDF,ECO-PROGRAMA-MATERIALES,convocatoria,90,,,true
ECO-PROGRAMA-MO,ECONOMICA,Programa de utilización de mano de obra,Distribución mensual de personal por categoría.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|XLSX|PDF,ECO-PROGRAMA-MO,convocatoria,100,,,true
ECO-PROGRAMA-EQUIPO,ECONOMICA,Programa de utilización de equipo,Distribución mensual de equipo de construcción.,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|XLSX|PDF,ECO-PROGRAMA-EQUIPO,convocatoria,110,,,true
ECO-CONGRUENCIA,ECONOMICA,Verificación de congruencia económica,Catálogo = carta = programas = explosión (tolerancia de redondeo en servicio).,,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,true,DOCUMENT|XLSX|PDF,ECO-CONGRUENCIA,buena práctica / bases,120,,,true
TEC-SICT-MAQ-PESADA,TECNICA,Maquinaria pesada / corredores,Acreditar disponibilidad de equipo pesado y experiencia en obras carreteras cuando el objeto lo requiera.,MX-FED-OBRA,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|PDF,TEC-SICT-MAQ-PESADA,case_pack SICT,200,"{""case_pack_contains"":""SICT""}",Overlay dependencia SICT,true
TEC-CONAGUA-HIDRAULICA,TECNICA,Experiencia hidráulica / normas CONAGUA,Acreditar experiencia en obra hidráulica y apego a normas CONAGUA cuando aplique.,MX-FED-OBRA,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|PDF,TEC-CONAGUA-HIDRAULICA,case_pack CONAGUA,200,"{""case_pack_contains"":""CONAGUA""}",Overlay dependencia CONAGUA,true
TEC-CFE-SEGURIDAD,TECNICA,Seguridad eléctrica / normas CFE,Personal y metodología conforme a normas de seguridad CFE cuando el objeto lo exija.,MX-FED-OBRA,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|PDF,TEC-CFE-SEGURIDAD,case_pack CFE,200,"{""case_pack_contains"":""CFE""}",Overlay dependencia CFE,true
TEC-IMSS-HOSPITALARIO,TECNICA,Obra en instalaciones en operación,Plan de interferencias y continuidad de servicios hospitalarios cuando se trabaje en unidades en operación.,MX-FED-OBRA,LICITACION_PUBLICA|INVITACION|ADJUDICACION,BINARY|POINTS_PERCENTAGES|COST_BENEFIT,LOPSRM,false,DOCUMENT|PDF,TEC-IMSS-HOSPITALARIO,case_pack IMSS,200,"{""case_pack_contains"":""IMSS""}",Overlay dependencia IMSS,true
